City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
3726,Utinga,Brazil,15,Good,0,Good,15,Good,0,Good,12,Good
3727,Uzlovaya,Russian Federation,48,Good,0,Good,31,Good,0,Good,48,Good
3728,Valea Lui Mihai,Romania,51,Moderate,1,Good,30,Good,1,Good,51,Moderate
3729,Vallentuna,Sweden,41,Good,0,Good,41,Good,0,Good,25,Good
3730,Varzea Alegre,Brazil,22,Good,0,Good,10,Good,1,Good,22,Good
3731,Varzea Da Palma,Brazil,30,Good,1,Good,1,Good,3,Good,30,Good
3732,Vecses,Hungary,49,Good,1,Good,28,Good,2,Good,49,Good
3733,Vicosa Do Ceara,Brazil,40,Good,1,Good,8,Good,2,Good,40,Good
3734,Videle,Romania,41,Good,1,Good,41,Good,1,Good,40,Good
3735,Wellingborough,United Kingdom of Great Britain and Northern Ireland,29,Good,0,Good,29,Good,1,Good,22,Good
3736,Wenatchee,United States of America,29,Good,1,Good,29,Good,1,Good,11,Good
3737,Wenchi,Ghana,67,Moderate,1,Good,19,Good,0,Good,67,Moderate
